feature,importance,fold
CODE_GENDER,9,1
FLAG_OWN_CAR,0,1
FLAG_OWN_REALTY,3,1
CNT_CHILDREN,8,1
AMT_INCOME_TOTAL,28,1
AMT_CREDIT,29,1
AMT_ANNUITY,24,1
AMT_GOODS_PRICE,23,1
REGION_POPULATION_RELATIVE,41,1
DAYS_BIRTH,42,1
DAYS_EMPLOYED,50,1
DAYS_REGISTRATION,56,1
DAYS_ID_PUBLISH,55,1
OWN_CAR_AGE,19,1
FLAG_MOBIL,0,1
FLAG_EMP_PHONE,0,1
FLAG_WORK_PHONE,1,1
FLAG_CONT_MOBILE,0,1
FLAG_PHONE,4,1
FLAG_EMAIL,1,1
CNT_FAM_MEMBERS,6,1
REGION_RATING_CLIENT,3,1
REGION_RATING_CLIENT_W_CITY,3,1
HOUR_APPR_PROCESS_START,23,1
REG_REGION_NOT_LIVE_REGION,0,1
REG_REGION_NOT_WORK_REGION,0,1
LIVE_REGION_NOT_WORK_REGION,0,1
REG_CITY_NOT_LIVE_CITY,2,1
REG_CITY_NOT_WORK_CITY,3,1
LIVE_CITY_NOT_WORK_CITY,1,1
EXT_SOURCE_1,58,1
EXT_SOURCE_2,72,1
EXT_SOURCE_3,75,1
APARTMENTS_AVG,11,1
BASEMENTAREA_AVG,11,1
YEARS_BEGINEXPLUATATION_AVG,13,1
YEARS_BUILD_AVG,6,1
COMMONAREA_AVG,9,1
ELEVATORS_AVG,5,1
ENTRANCES_AVG,13,1
FLOORSMAX_AVG,3,1
FLOORSMIN_AVG,7,1
LANDAREA_AVG,13,1
LIVINGAPARTMENTS_AVG,7,1
LIVINGAREA_AVG,6,1
NONLIVINGAPARTMENTS_AVG,8,1
NONLIVINGAREA_AVG,7,1
APARTMENTS_MODE,9,1
BASEMENTAREA_MODE,9,1
YEARS_BEGINEXPLUATATION_MODE,9,1
YEARS_BUILD_MODE,2,1
COMMONAREA_MODE,6,1
ELEVATORS_MODE,3,1
ENTRANCES_MODE,6,1
FLOORSMAX_MODE,0,1
FLOORSMIN_MODE,2,1
LANDAREA_MODE,14,1
LIVINGAPARTMENTS_MODE,4,1
LIVINGAREA_MODE,25,1
NONLIVINGAPARTMENTS_MODE,1,1
NONLIVINGAREA_MODE,8,1
APARTMENTS_MEDI,6,1
BASEMENTAREA_MEDI,8,1
YEARS_BEGINEXPLUATATION_MEDI,5,1
YEARS_BUILD_MEDI,1,1
COMMONAREA_MEDI,3,1
ELEVATORS_MEDI,3,1
ENTRANCES_MEDI,3,1
FLOORSMAX_MEDI,2,1
FLOORSMIN_MEDI,0,1
LANDAREA_MEDI,6,1
LIVINGAPARTMENTS_MEDI,1,1
LIVINGAREA_MEDI,11,1
NONLIVINGAPARTMENTS_MEDI,3,1
NONLIVINGAREA_MEDI,1,1
TOTALAREA_MODE,12,1
OBS_30_CNT_SOCIAL_CIRCLE,11,1
DEF_30_CNT_SOCIAL_CIRCLE,14,1
OBS_60_CNT_SOCIAL_CIRCLE,3,1
DEF_60_CNT_SOCIAL_CIRCLE,3,1
DAYS_LAST_PHONE_CHANGE,42,1
FLAG_DOCUMENT_2,0,1
FLAG_DOCUMENT_3,5,1
FLAG_DOCUMENT_4,0,1
FLAG_DOCUMENT_5,2,1
FLAG_DOCUMENT_6,3,1
FLAG_DOCUMENT_7,0,1
FLAG_DOCUMENT_8,1,1
FLAG_DOCUMENT_9,0,1
FLAG_DOCUMENT_10,0,1
FLAG_DOCUMENT_11,0,1
FLAG_DOCUMENT_12,0,1
FLAG_DOCUMENT_13,0,1
FLAG_DOCUMENT_14,0,1
FLAG_DOCUMENT_15,0,1
FLAG_DOCUMENT_16,0,1
FLAG_DOCUMENT_17,0,1
FLAG_DOCUMENT_18,0,1
FLAG_DOCUMENT_19,0,1
FLAG_DOCUMENT_20,0,1
FLAG_DOCUMENT_21,0,1
AMT_REQ_CREDIT_BUREAU_HOUR,0,1
AMT_REQ_CREDIT_BUREAU_DAY,3,1
AMT_REQ_CREDIT_BUREAU_WEEK,1,1
AMT_REQ_CREDIT_BUREAU_MON,6,1
AMT_REQ_CREDIT_BUREAU_QRT,6,1
AMT_REQ_CREDIT_BUREAU_YEAR,20,1
NAME_CONTRACT_TYPE_Cash_loans,5,1
NAME_CONTRACT_TYPE_Revolving_loans,1,1
