,0
PREV_NAME_PRODUCT_TYPE_XNA_MEAN,0.024654731
HOUSETYPE_MODE_terraced_house,0.018939877
ORGANIZATION_TYPE_Insurance,0.014408999
PREV_NAME_CONTRACT_STATUS_Approved_MEAN,0.011912255
APPROVED_AMT_APPLICATION_MIN,0.011572327
WALLSMATERIAL_MODE_Block,0.011209835
ORGANIZATION_TYPE_Industry__type_1,0.010972517
ORGANIZATION_TYPE_Industry__type_2,0.010421268
INSTAL_PAYMENT_DIFF_MAX,0.010073379
ORGANIZATION_TYPE_Advertising,0.008966325
PREV_PRODUCT_COMBINATION_Cash_MEAN,0.008831319
PREV_NAME_SELLER_INDUSTRY_Consumer_electronics_MEAN,0.00872855
FLAG_DOCUMENT_16,0.008652483
INSTAL_PAYMENT_DIFF_VAR,0.0085236095
CC_AMT_DRAWINGS_CURRENT_MAX,0.008486303
NAME_CONTRACT_TYPE_Cash_loans,0.008337595
OCCUPATION_TYPE_Cleaning_staff,0.008165869
PREV_NAME_YIELD_GROUP_low_normal_MEAN,0.0077739935
NAME_CONTRACT_TYPE_Revolving_loans,0.0077021434
CC_AMT_PAYMENT_CURRENT_SUM,0.0073817954
CC_AMT_DRAWINGS_ATM_CURRENT_MIN,0.0070834006
FLAG_DOCUMENT_18,0.006855688
CC_AMT_CREDIT_LIMIT_ACTUAL_MIN,0.006830237
ORGANIZATION_TYPE_Industry__type_11,0.006815342
APPROVED_DAYS_DECISION_MAX,0.0068112784
NAME_EDUCATION_TYPE_Higher_education,0.006708834
CC_AMT_DRAWINGS_CURRENT_MEAN,0.0066061425
FLAG_DOCUMENT_19,0.0064757704
ORGANIZATION_TYPE_Agriculture,0.006416908
PREV_NAME_GOODS_CATEGORY_Consumer_Electronics_MEAN,0.00640197
WALLSMATERIAL_MODE_Others,0.006331452
CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN,0.006302914
PREV_AMT_GOODS_PRICE_MAX,0.006296241
CC_MONTHS_BALANCE_MAX,0.0062094713
CC_CNT_INSTALMENT_MATURE_CUM_MEAN,0.0059866873
ORGANIZATION_TYPE_Medicine,0.005943082
CC_AMT_PAYMENT_TOTAL_CURRENT_MIN,0.0059217196
PREV_AMT_GOODS_PRICE_MIN,0.005910723
PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,0.0058926647
CC_AMT_INST_MIN_REGULARITY_SUM,0.0058668186
ORGANIZATION_TYPE_Culture,0.0058031166
NAME_TYPE_SUITE_Children,0.0054194992
CC_CNT_INSTALMENT_MATURE_CUM_MIN,0.0052503464
PREV_NAME_TYPE_SUITE_nan_MEAN,0.0051745493
OCCUPATION_TYPE_Secretaries,0.0051073204
ORGANIZATION_TYPE_Kindergarten,0.00506077
INSTAL_AMT_INSTALMENT_MEAN,0.0050220806
PREV_NAME_PORTFOLIO_POS_MEAN,0.0049988655
ORGANIZATION_TYPE_Industry__type_6,0.0049416814
NAME_TYPE_SUITE_Other_A,0.004831396
ORGANIZATION_TYPE_Police,0.004823503
NAME_HOUSING_TYPE_Office_apartment,0.004555257
APPROVED_AMT_ANNUITY_MIN,0.004547021
OCCUPATION_TYPE_Accountants,0.004536154
ORGANIZATION_TYPE_Trade__type_2,0.004513028
INSTAL_DBD_MAX,0.004475676
CC_AMT_BALANCE_MIN,0.004431566
APPROVED_AMT_CREDIT_MIN,0.0043996917
CC_AMT_BALANCE_SUM,0.0043925922
ORGANIZATION_TYPE_Realtor,0.004383161
ORGANIZATION_TYPE_School,0.0043795793
FONDKAPREMONT_MODE_org_spec_account,0.004363456
INSTAL_AMT_INSTALMENT_SUM,0.0043341
BURO_DAYS_CREDIT_MIN,0.0043255375
ORGANIZATION_TYPE_Industry__type_9,0.004279076
ORGANIZATION_TYPE_Industry__type_7,0.0042765653
ORGANIZATION_TYPE_Postal,0.0042445925
CC_AMT_BALANCE_MAX,0.0041510416
INSTAL_DPD_MEAN,0.0041157985
WALLSMATERIAL_MODE_Wooden,0.0040472588
INSTAL_AMT_INSTALMENT_MAX,0.0040358687
ORGANIZATION_TYPE_Industry__type_12,0.0040354654
ORGANIZATION_TYPE_Hotel,0.004011115
HOUSETYPE_MODE_specific_housing,0.0039003566
PREV_APP_CREDIT_PERC_VAR,0.0038049472
BURO_DAYS_CREDIT_MAX,0.0037600133
ORGANIZATION_TYPE_Transport__type_3,0.0037467843
PREV_AMT_APPLICATION_MIN,0.0036823773
PREV_AMT_ANNUITY_MIN,0.0036805246
NAME_TYPE_SUITE_Spouse__partner,0.0036772355
DEF_30_CNT_SOCIAL_CIRCLE,0.0036678964
INSTAL_DAYS_ENTRY_PAYMENT_SUM,0.003638958
OCCUPATION_TYPE_Security_staff,0.003629864
INSTAL_DAYS_ENTRY_PAYMENT_MEAN,0.0036001895
EXT_SOURCE_2,0.0035664835
EXT_SOURCE_3,0.0035380889
NAME_HOUSING_TYPE_Municipal_apartment,0.0035374966
FONDKAPREMONT_MODE_reg_oper_spec_account,0.003533177
INSTAL_AMT_PAYMENT_MEAN,0.0034599404
ORGANIZATION_TYPE_Industry__type_3,0.0034018375
LIVE_REGION_NOT_WORK_REGION,0.003382382
NAME_EDUCATION_TYPE_Secondary___secondary_special,0.0033788572
OCCUPATION_TYPE_Managers,0.0033069619
NAME_EDUCATION_TYPE_Incomplete_higher,0.0032844453
ORGANIZATION_TYPE_Trade__type_7,0.0032644747
FONDKAPREMONT_MODE_not_specified,0.00322239
CC_MONTHS_BALANCE_VAR,0.003221211
NAME_EDUCATION_TYPE_Lower_secondary,0.0032070943
INSTAL_DAYS_ENTRY_PAYMENT_MAX,0.003203544
REGION_RATING_CLIENT,0.00317037
YEARS_BUILD_AVG,0.0031695412
EMERGENCYSTATE_MODE_Yes,0.0031686302
NAME_INCOME_TYPE_State_servant,0.0031051321
PREV_AMT_CREDIT_MAX,0.0031038625
INSTAL_DPD_MAX,0.0031016658
OCCUPATION_TYPE_Drivers,0.0030972178
OCCUPATION_TYPE_Core_staff,0.0030938436
INSTAL_PAYMENT_PERC_MAX,0.003087446
ORGANIZATION_TYPE_Trade__type_3,0.0030749182
FLAG_DOCUMENT_13,0.0030420392
OCCUPATION_TYPE_High_skill_tech_staff,0.0030309444
PREV_AMT_CREDIT_MIN,0.0030142271
OCCUPATION_TYPE_Cooking_staff,0.002979755
ORGANIZATION_TYPE_Other,0.0029747547
PREV_PRODUCT_COMBINATION_POS_household_with_interest_MEAN,0.0029738538
ORGANIZATION_TYPE_Security_Ministries,0.0029677537
POS_MONTHS_BALANCE_MAX,0.0029613571
ORGANIZATION_TYPE_Security,0.002956366
POS_MONTHS_BALANCE_MEAN,0.002936865
NAME_TYPE_SUITE_Other_B,0.00293549
ORGANIZATION_TYPE_Military,0.0028965545
ELEVATORS_MEDI,0.0028945406
REG_REGION_NOT_WORK_REGION,0.002880662
YEARS_BUILD_MODE,0.0028778245
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,0.0028497726
LIVINGAPARTMENTS_MODE,0.0028113043
INSTAL_AMT_PAYMENT_MIN,0.002802901
