,0
CC_AMT_CREDIT_LIMIT_ACTUAL_MIN,0.021305924
PREV_NAME_CONTRACT_STATUS_Approved_MEAN,0.015540617
FLAG_DOCUMENT_14,0.01407948
CC_AMT_DRAWINGS_CURRENT_MIN,0.013355697
CC_AMT_PAYMENT_TOTAL_CURRENT_MEAN,0.013055465
INSTAL_PAYMENT_DIFF_MAX,0.012623432
APPROVED_AMT_CREDIT_MAX,0.011926471
ORGANIZATION_TYPE_Industry__type_2,0.011894594
PREV_AMT_GOODS_PRICE_MIN,0.011562327
PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN,0.010713062
PREV_NAME_GOODS_CATEGORY_Consumer_Electronics_MEAN,0.01061616
PREV_CODE_REJECT_REASON_HC_MEAN,0.010360435
APPROVED_CNT_PAYMENT_MEAN,0.0100087775
ORGANIZATION_TYPE_Agriculture,0.009709994
FLAG_DOCUMENT_19,0.00957615
PREV_CHANNEL_TYPE_Regional___Local_MEAN,0.009573358
CC_AMT_PAYMENT_TOTAL_CURRENT_MIN,0.00826434
CC_AMT_DRAWINGS_ATM_CURRENT_MIN,0.008199364
HOUSETYPE_MODE_specific_housing,0.007939071
PREV_AMT_APPLICATION_MIN,0.007900857
APPROVED_AMT_GOODS_PRICE_MIN,0.0078120083
PREV_AMT_APPLICATION_MEAN,0.0077249478
NAME_HOUSING_TYPE_Co_op_apartment,0.007667987
ORGANIZATION_TYPE_Industry__type_1,0.007653694
NAME_CONTRACT_TYPE_Revolving_loans,0.0076192296
PREV_AMT_CREDIT_MAX,0.007194356
CC_AMT_DRAWINGS_OTHER_CURRENT_MIN,0.0070030745
PREV_NAME_TYPE_SUITE_Spouse__partner_MEAN,0.0069863866
PREV_NAME_GOODS_CATEGORY_Other_MEAN,0.0069565135
NAME_INCOME_TYPE_Pensioner,0.0069144648
ORGANIZATION_TYPE_Advertising,0.00687866
FLAG_DOCUMENT_16,0.00680559
PREV_NAME_YIELD_GROUP_low_normal_MEAN,0.006740506
ORGANIZATION_TYPE_Medicine,0.00661948
NAME_EDUCATION_TYPE_Higher_education,0.0064400584
APPROVED_AMT_APPLICATION_MAX,0.0060739256
NAME_CONTRACT_TYPE_Cash_loans,0.0058240695
FLAG_DOCUMENT_18,0.005819712
NAME_TYPE_SUITE_Children,0.0058007264
INSTAL_PAYMENT_PERC_MAX,0.005753573
PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,0.005565556
ORGANIZATION_TYPE_Trade__type_1,0.005533804
CC_AMT_PAYMENT_TOTAL_CURRENT_SUM,0.0055260602
INSTAL_DPD_MEAN,0.0054927194
PREV_NAME_SELLER_INDUSTRY_Consumer_electronics_MEAN,0.0054704836
OCCUPATION_TYPE_Private_service_staff,0.005431382
WALLSMATERIAL_MODE_Block,0.0051687425
CC_AMT_INST_MIN_REGULARITY_SUM,0.0051294495
ORGANIZATION_TYPE_Security,0.0050187577
INSTAL_AMT_INSTALMENT_SUM,0.0048229657
CC_AMT_INST_MIN_REGULARITY_MAX,0.004805118
ORGANIZATION_TYPE_Industry__type_7,0.0046230233
ORGANIZATION_TYPE_Industry__type_12,0.0046077888
ORGANIZATION_TYPE_Trade__type_2,0.0045852605
ORGANIZATION_TYPE_Culture,0.0045643514
CC_AMT_BALANCE_MAX,0.004516544
WALLSMATERIAL_MODE_Others,0.004450995
ORGANIZATION_TYPE_Kindergarten,0.0044502825
OCCUPATION_TYPE_Cooking_staff,0.004398283
FLAG_DOCUMENT_5,0.0043439344
PREV_AMT_APPLICATION_MAX,0.004267204
APPROVED_AMT_APPLICATION_MIN,0.0042493707
CC_AMT_BALANCE_MIN,0.0041959514
PREV_NAME_PORTFOLIO_POS_MEAN,0.004183957
OCCUPATION_TYPE_Cleaning_staff,0.0041617653
NAME_EDUCATION_TYPE_Incomplete_higher,0.0040986254
ORGANIZATION_TYPE_Postal,0.0039787698
CC_CNT_INSTALMENT_MATURE_CUM_MIN,0.0039746645
INSTAL_PAYMENT_PERC_SUM,0.003936152
OCCUPATION_TYPE_Accountants,0.003928929
INSTAL_DAYS_ENTRY_PAYMENT_SUM,0.003923719
INSTAL_AMT_INSTALMENT_MAX,0.003891954
INSTAL_NUM_INSTALMENT_VERSION_NUNIQUE,0.0038891851
APPROVED_HOUR_APPR_PROCESS_START_MIN,0.003828478
REG_REGION_NOT_LIVE_REGION,0.0037769664
APPROVED_DAYS_DECISION_MAX,0.003746794
CC_AMT_PAYMENT_CURRENT_SUM,0.0037209839
BURO_DAYS_CREDIT_MIN,0.0036990845
ORGANIZATION_TYPE_Security_Ministries,0.003686392
APPROVED_DAYS_DECISION_MIN,0.0036788618
PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN,0.0036074314
LIVE_REGION_NOT_WORK_REGION,0.00351028
ORGANIZATION_TYPE_Industry__type_3,0.003502387
NONLIVINGAPARTMENTS_MODE,0.0034891723
CC_MONTHS_BALANCE_MAX,0.0034866545
FONDKAPREMONT_MODE_reg_oper_spec_account,0.0034668755
PREV_AMT_DOWN_PAYMENT_MIN,0.003459393
ORGANIZATION_TYPE_Legal_Services,0.0034593537
NAME_EDUCATION_TYPE_Lower_secondary,0.0034109682
NAME_EDUCATION_TYPE_Secondary___secondary_special,0.0033892286
ORGANIZATION_TYPE_School,0.0033775
INSTAL_DBD_MAX,0.003357501
NAME_HOUSING_TYPE_Office_apartment,0.0033493186
BURO_DAYS_CREDIT_MAX,0.0032998829
ORGANIZATION_TYPE_Other,0.0032977988
CC_AMT_INST_MIN_REGULARITY_MIN,0.0032583333
EXT_SOURCE_3,0.0032529375
INSTAL_PAYMENT_PERC_MEAN,0.0032128005
OCCUPATION_TYPE_Security_staff,0.0031906879
ORGANIZATION_TYPE_Industry__type_11,0.0031880909
EXT_SOURCE_2,0.0031650616
FLAG_DOCUMENT_13,0.0031553924
POS_MONTHS_BALANCE_MAX,0.003154366
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.0031514065
FLOORSMIN_AVG,0.0031479867
DEF_30_CNT_SOCIAL_CIRCLE,0.00312185
ORGANIZATION_TYPE_Hotel,0.0030625756
ORGANIZATION_TYPE_Services,0.0029864644
INSTAL_DBD_SUM,0.0029744883
ORGANIZATION_TYPE_Business_Entity_Type_2,0.0029343292
ORGANIZATION_TYPE_Military,0.0029241461
OCCUPATION_TYPE_Drivers,0.002914584
PREV_AMT_ANNUITY_MAX,0.002908039
CC_AMT_RECEIVABLE_PRINCIPAL_MAX,0.0028572557
ORGANIZATION_TYPE_Police,0.002852634
PREV_CNT_PAYMENT_MEAN,0.0028232585
INSTAL_DAYS_ENTRY_PAYMENT_MEAN,0.0028203856
ORGANIZATION_TYPE_Transport__type_2,0.002781232
