feature,importance
EXT_SOURCE_3,1.0501169
EXT_SOURCE_2,0.86745274
DAYS_ID_PUBLISH,0.46976304
PAYMENT_RATE,0.4494816
AMT_GOODS_PRICE,0.4262294
EXT_SOURCE_1,0.40855297
DAYS_REGISTRATION,0.38895693
DAYS_EMPLOYED_PERC,0.35732275
AMT_ANNUITY,0.3480955
DAYS_BIRTH,0.34271774
DAYS_LAST_PHONE_CHANGE,0.34146345
REGION_POPULATION_RELATIVE,0.33835885
DAYS_EMPLOYED,0.30522785
ANNUITY_INCOME_PERC,0.28792316
INCOME_PER_PERSON,0.24940713
INCOME_CREDIT_PERC,0.2346718
AMT_CREDIT,0.23367383
HOUR_APPR_PROCESS_START,0.21447666
NAME_EDUCATION_TYPE_Higher_education,0.20466925
OWN_CAR_AGE,0.20456278
CODE_GENDER,0.1823021
AMT_INCOME_TOTAL,0.17340338
AMT_REQ_CREDIT_BUREAU_YEAR,0.17012224
LIVINGAREA_MODE,0.15539289
APARTMENTS_AVG,0.14391652
DEF_30_CNT_SOCIAL_CIRCLE,0.12979928
OBS_60_CNT_SOCIAL_CIRCLE,0.12572365
REGION_RATING_CLIENT_W_CITY,0.11976409
OBS_30_CNT_SOCIAL_CIRCLE,0.111664005
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.0976752
LANDAREA_MODE,0.092116475
TOTALAREA_MODE,0.09100099
OCCUPATION_TYPE_Laborers,0.08781769
LANDAREA_AVG,0.083038665
YEARS_BEGINEXPLUATATION_AVG,0.08272095
YEARS_BEGINEXPLUATATION_MODE,0.08258875
APARTMENTS_MODE,0.07809343
CNT_CHILDREN,0.077050224
NAME_HOUSING_TYPE_House___apartment,0.07610654
ORGANIZATION_TYPE_Self_employed,0.07327805
BASEMENTAREA_MODE,0.07062345
LIVINGAREA_MEDI,0.0695156
WEEKDAY_APPR_PROCESS_START_FRIDAY,0.06884078
LIVINGAREA_AVG,0.067316264
NAME_EDUCATION_TYPE_Secondary___secondary_special,0.06437659
NAME_INCOME_TYPE_Commercial_associate,0.06419768
FLOORSMIN_AVG,0.06275996
REG_CITY_NOT_WORK_CITY,0.0619344
NAME_FAMILY_STATUS_Married,0.06025475
YEARS_BEGINEXPLUATATION_MEDI,0.06015249
ORGANIZATION_TYPE_Other,0.05994654
AMT_REQ_CREDIT_BUREAU_QRT,0.059592735
FLAG_PHONE,0.058708765
WALLSMATERIAL_MODE_Panel,0.05450293
APARTMENTS_MEDI,0.054135457
COMMONAREA_MODE,0.05409557
NAME_CONTRACT_TYPE_Cash_loans,0.053650588
LIVE_CITY_NOT_WORK_CITY,0.0533198
BASEMENTAREA_AVG,0.052477434
WEEKDAY_APPR_PROCESS_START_THURSDAY,0.050698668
NONLIVINGAREA_MODE,0.050480135
CNT_FAM_MEMBERS,0.04861272
OCCUPATION_TYPE_Core_staff,0.04797526
YEARS_BUILD_MODE,0.047551047
AMT_REQ_CREDIT_BUREAU_MON,0.047189735
NAME_TYPE_SUITE_Unaccompanied,0.045705482
NONLIVINGAREA_AVG,0.04287714
FLAG_WORK_PHONE,0.04284615
ENTRANCES_AVG,0.04235344
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.04105672
ENTRANCES_MODE,0.040784433
COMMONAREA_MEDI,0.040401302
COMMONAREA_AVG,0.040079627
WEEKDAY_APPR_PROCESS_START_MONDAY,0.0394171
LANDAREA_MEDI,0.038363244
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.03825931
LIVE_REGION_NOT_WORK_REGION,0.037957698
FLAG_OWN_REALTY,0.036886822
BASEMENTAREA_MEDI,0.03588883
LIVINGAPARTMENTS_MODE,0.03579601
NAME_FAMILY_STATUS_Separated,0.03510964
NAME_INCOME_TYPE_Working,0.034188524
NAME_TYPE_SUITE_Family,0.03219841
ORGANIZATION_TYPE_Business_Entity_Type_3,0.030860303
DEF_60_CNT_SOCIAL_CIRCLE,0.02983066
OCCUPATION_TYPE_Managers,0.029736472
LIVINGAPARTMENTS_AVG,0.02956977
FLAG_DOCUMENT_3,0.028309112
YEARS_BUILD_AVG,0.028159354
ORGANIZATION_TYPE_Business_Entity_Type_2,0.028057974
INSTAL_DAYS_ENTRY_PAYMENT_SUM,0.02794869
NONLIVINGAREA_MEDI,0.026821658
YEARS_BUILD_MEDI,0.025766974
NONLIVINGAPARTMENTS_AVG,0.025727883
ELEVATORS_AVG,0.023856165
FLAG_DOCUMENT_6,0.02319663
FLOORSMIN_MEDI,0.022743713
AMT_REQ_CREDIT_BUREAU_DAY,0.021979468
ENTRANCES_MEDI,0.02136568
LIVINGAPARTMENTS_MEDI,0.020310482
REGION_RATING_CLIENT,0.019748844
FLOORSMAX_AVG,0.019720789
REG_CITY_NOT_LIVE_CITY,0.018337851
NAME_FAMILY_STATUS_Single___not_married,0.017904075
NAME_FAMILY_STATUS_Civil_marriage,0.017818496
NAME_HOUSING_TYPE_Municipal_apartment,0.017765015
INSTAL_DBD_MEAN,0.017711533
