feature,importance,fold
CODE_GENDER,18,1
FLAG_OWN_CAR,1,1
FLAG_OWN_REALTY,7,1
CNT_CHILDREN,5,1
AMT_INCOME_TOTAL,39,1
AMT_CREDIT,57,1
AMT_ANNUITY,56,1
AMT_GOODS_PRICE,50,1
REGION_POPULATION_RELATIVE,59,1
DAYS_BIRTH,86,1
DAYS_EMPLOYED,93,1
DAYS_REGISTRATION,126,1
DAYS_ID_PUBLISH,112,1
OWN_CAR_AGE,53,1
FLAG_MOBIL,0,1
FLAG_EMP_PHONE,0,1
FLAG_WORK_PHONE,1,1
FLAG_CONT_MOBILE,0,1
FLAG_PHONE,8,1
FLAG_EMAIL,6,1
CNT_FAM_MEMBERS,12,1
REGION_RATING_CLIENT,6,1
REGION_RATING_CLIENT_W_CITY,10,1
HOUR_APPR_PROCESS_START,55,1
REG_REGION_NOT_LIVE_REGION,0,1
REG_REGION_NOT_WORK_REGION,0,1
LIVE_REGION_NOT_WORK_REGION,0,1
REG_CITY_NOT_LIVE_CITY,0,1
REG_CITY_NOT_WORK_CITY,3,1
LIVE_CITY_NOT_WORK_CITY,3,1
EXT_SOURCE_1,112,1
EXT_SOURCE_2,124,1
EXT_SOURCE_3,121,1
APARTMENTS_AVG,23,1
BASEMENTAREA_AVG,13,1
YEARS_BEGINEXPLUATATION_AVG,24,1
YEARS_BUILD_AVG,18,1
COMMONAREA_AVG,25,1
ELEVATORS_AVG,6,1
ENTRANCES_AVG,10,1
FLOORSMAX_AVG,6,1
FLOORSMIN_AVG,8,1
LANDAREA_AVG,22,1
LIVINGAPARTMENTS_AVG,17,1
LIVINGAREA_AVG,20,1
NONLIVINGAPARTMENTS_AVG,7,1
NONLIVINGAREA_AVG,14,1
APARTMENTS_MODE,10,1
BASEMENTAREA_MODE,23,1
YEARS_BEGINEXPLUATATION_MODE,11,1
YEARS_BUILD_MODE,8,1
COMMONAREA_MODE,15,1
ELEVATORS_MODE,3,1
ENTRANCES_MODE,9,1
FLOORSMAX_MODE,2,1
FLOORSMIN_MODE,4,1
LANDAREA_MODE,28,1
LIVINGAPARTMENTS_MODE,11,1
LIVINGAREA_MODE,38,1
NONLIVINGAPARTMENTS_MODE,1,1
NONLIVINGAREA_MODE,14,1
APARTMENTS_MEDI,8,1
BASEMENTAREA_MEDI,14,1
YEARS_BEGINEXPLUATATION_MEDI,7,1
YEARS_BUILD_MEDI,6,1
COMMONAREA_MEDI,3,1
ELEVATORS_MEDI,3,1
ENTRANCES_MEDI,2,1
FLOORSMAX_MEDI,3,1
FLOORSMIN_MEDI,2,1
LANDAREA_MEDI,17,1
LIVINGAPARTMENTS_MEDI,7,1
LIVINGAREA_MEDI,15,1
NONLIVINGAPARTMENTS_MEDI,4,1
NONLIVINGAREA_MEDI,5,1
TOTALAREA_MODE,19,1
OBS_30_CNT_SOCIAL_CIRCLE,38,1
DEF_30_CNT_SOCIAL_CIRCLE,24,1
OBS_60_CNT_SOCIAL_CIRCLE,9,1
DEF_60_CNT_SOCIAL_CIRCLE,6,1
DAYS_LAST_PHONE_CHANGE,74,1
FLAG_DOCUMENT_2,0,1
FLAG_DOCUMENT_3,4,1
FLAG_DOCUMENT_4,0,1
FLAG_DOCUMENT_5,2,1
FLAG_DOCUMENT_6,4,1
FLAG_DOCUMENT_7,0,1
FLAG_DOCUMENT_8,0,1
FLAG_DOCUMENT_9,0,1
FLAG_DOCUMENT_10,0,1
FLAG_DOCUMENT_11,0,1
FLAG_DOCUMENT_12,0,1
FLAG_DOCUMENT_13,0,1
FLAG_DOCUMENT_14,0,1
FLAG_DOCUMENT_15,0,1
FLAG_DOCUMENT_16,0,1
FLAG_DOCUMENT_17,0,1
FLAG_DOCUMENT_18,0,1
FLAG_DOCUMENT_19,0,1
FLAG_DOCUMENT_20,0,1
FLAG_DOCUMENT_21,0,1
AMT_REQ_CREDIT_BUREAU_HOUR,1,1
AMT_REQ_CREDIT_BUREAU_DAY,8,1
AMT_REQ_CREDIT_BUREAU_WEEK,1,1
AMT_REQ_CREDIT_BUREAU_MON,6,1
AMT_REQ_CREDIT_BUREAU_QRT,7,1
AMT_REQ_CREDIT_BUREAU_YEAR,40,1
NAME_CONTRACT_TYPE_Cash_loans,7,1
NAME_CONTRACT_TYPE_Revolving_loans,2,1
NAME_TYPE_SUITE_Children,0,1
NAME_TYPE_SUITE_Family,3,1
NAME_TYPE_SUITE_Group_of_people,0,1
NAME_TYPE_SUITE_Other_A,0,1
NAME_TYPE_SUITE_Other_B,0,1
NAME_TYPE_SUITE_Spouse__partner,0,1
NAME_TYPE_SUITE_Unaccompanied,3,1
NAME_INCOME_TYPE_Businessman,0,1
NAME_INCOME_TYPE_Commercial_associate,7,1
NAME_INCOME_TYPE_Pensioner,0,1
NAME_INCOME_TYPE_State_servant,1,1
NAME_INCOME_TYPE_Student,0,1
NAME_INCOME_TYPE_Unemployed,0,1
NAME_INCOME_TYPE_Working,12,1
NAME_EDUCATION_TYPE_Academic_degree,0,1
NAME_EDUCATION_TYPE_Higher_education,21,1
NAME_EDUCATION_TYPE_Incomplete_higher,1,1
NAME_EDUCATION_TYPE_Lower_secondary,0,1
NAME_EDUCATION_TYPE_Secondary___secondary_special,7,1
NAME_FAMILY_STATUS_Civil_marriage,2,1
NAME_FAMILY_STATUS_Married,8,1
NAME_FAMILY_STATUS_Separated,8,1
NAME_FAMILY_STATUS_Single___not_married,1,1
NAME_FAMILY_STATUS_Widow,0,1
NAME_HOUSING_TYPE_Co_op_apartment,0,1
NAME_HOUSING_TYPE_House___apartment,8,1
NAME_HOUSING_TYPE_Municipal_apartment,2,1
NAME_HOUSING_TYPE_Office_apartment,0,1
NAME_HOUSING_TYPE_Rented_apartment,2,1
NAME_HOUSING_TYPE_With_parents,4,1
OCCUPATION_TYPE_Accountants,2,1
